N,c1,c2,liar_caught
11,5,6,false
11,6,5,false
11,5,6,false
11,6,5,false
11,5,6,false
11,6,5,false
11,5,6,false
11,6,5,false
11,5,6,false
11,6,5,false
11,5,6,false
11,6,5,false
11,4,7,true
11,7,4,false
11,4,7,true
11,7,4,false
11,4,7,true
11,7,4,false
11,4,7,true
11,7,4,false
11,4,7,true
11,7,4,false
11,4,7,true
11,7,4,false
11,3,8,true
11,8,3,false
11,3,8,true
11,8,3,false
11,3,8,true
11,8,3,false
11,3,8,true
11,8,3,false
11,3,8,true
11,8,3,false
11,3,8,true
11,8,3,false
11,2,9,false
11,9,2,false
11,2,9,false
11,9,2,false
11,2,9,false
11,9,2,false
11,2,9,false
11,9,2,false
11,2,9,false
11,9,2,false
11,2,9,false
11,9,2,false
11,1,10,false
11,10,1,false
11,1,10,false
11,10,1,false
11,1,10,false
11,10,1,false
11,1,10,false
11,10,1,false
11,1,10,false
11,10,1,false
11,1,10,false
11,10,1,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,5,7,false
12,7,5,false
12,5,7,false
12,7,5,false
12,5,7,false
12,7,5,false
12,5,7,false
12,7,5,false
12,5,7,false
12,7,5,false
12,5,7,false
12,7,5,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,4,8,true
12,8,4,false
12,4,8,true
12,8,4,false
12,4,8,true
12,8,4,false
12,4,8,true
12,8,4,false
12,4,8,true
12,8,4,false
12,4,8,true
12,8,4,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,3,9,true
12,9,3,false
12,3,9,true
12,9,3,false
12,3,9,true
12,9,3,false
12,3,9,true
12,9,3,false
12,3,9,true
12,9,3,false
12,3,9,true
12,9,3,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,2,10,false
12,10,2,false
12,2,10,false
12,10,2,false
12,2,10,false
12,10,2,false
12,2,10,false
12,10,2,false
12,2,10,false
12,10,2,false
12,2,10,false
12,10,2,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,1,11,false
12,11,1,false
12,1,11,false
12,11,1,false
12,1,11,false
12,11,1,false
12,1,11,false
12,11,1,false
12,1,11,false
12,11,1,false
12,1,11,false
12,11,1,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
12,6,6,false
13,6,7,false
13,7,6,false
13,6,7,false
13,7,6,false
13,6,7,false
13,7,6,false
13,6,7,false
13,7,6,false
13,6,7,false
13,7,6,false
13,6,7,false
13,7,6,false
13,5,8,true
13,8,5,false
13,5,8,true
13,8,5,false
13,5,8,true
13,8,5,false
13,5,8,true
13,8,5,false
13,5,8,true
13,8,5,false
13,5,8,true
13,8,5,false
13,4,9,true
13,9,4,false
13,4,9,true
13,9,4,false
13,4,9,true
13,9,4,false
13,4,9,true
13,9,4,false
13,4,9,true
13,9,4,false
13,4,9,true
13,9,4,false
13,3,10,true
13,10,3,false
13,3,10,true
13,10,3,false
13,3,10,true
13,10,3,false
13,3,10,true
13,10,3,false
13,3,10,true
13,10,3,false
13,3,10,true
13,10,3,false
13,2,11,false
13,11,2,false
13,2,11,false
13,11,2,false
13,2,11,false
13,11,2,false
13,2,11,false
13,11,2,false
13,2,11,false
13,11,2,false
13,2,11,false
13,11,2,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
13,1,12,false
13,12,1,false
13,1,12,false
