N,c1,c2,c3,liar_caught
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,false
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,false
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,true
10,2,3,5,true
10,3,5,2,true
10,5,2,3,false
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,1,4,5,true
10,4,5,1,true
10,5,1,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,false
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,false
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,false
10,1,3,6,true
10,3,6,1,true
10,6,1,3,false
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,1,3,6,true
10,3,6,1,true
10,6,1,3,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,false
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,false
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,false
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,false
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,false
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,false
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,false
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,2,4,4,true
10,4,4,2,true
10,4,2,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,3,4,3,true
10,4,3,3,true
10,3,3,4,true
10,2,2,6,true
10,2,6,2,false
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,false
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,false
10,2,2,6,true
10,2,6,2,true
10,6,2,2,false
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,false
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,2,2,6,true
10,2,6,2,true
10,6,2,2,false
10,2,2,6,true
10,2,6,2,true
10,6,2,2,true
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,true
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,true
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,false
10,7,1,2,false
10,1,2,7,true
10,2,7,1,true
10,7,1,2,false
10,1,2,7,true
